label,group_id,bucket_id,pin_id,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
2R2-7,2,2,7,7.3455000296235085,7.227700017392635,9.261900559067726,196.76371857231004,238.80135277417452,1.2814450706006086,1.2136452518120904,0.9460126810715416,0.9736081880829852
2R2-8,2,2,8,7.535099983215332,7.732800021767616,8.39490070939064,195.972419918116,243.41267012848385,1.1141060806214305,1.2420761565846359,0.9620211556688527,0.9799215859415863
2R2-9,2,2,9,6.427500024437904,7.205099985003471,8.227500319480896,162.82459186394797,180.93330572424253,1.2800467192842064,1.111216086298719,0.9501156497028267,0.9787990110367135
2R2-10,2,2,10,7.244300097227097,7.1171000599861145,9.110699594020844,185.38085460590784,224.14281542816445,1.2801140235814836,1.209093656972608,0.9625776930967932,0.9831254206372301
2R3-1,2,3,1,7.166599854826927,6.504599936306477,8.993599563837051,184.09991348713152,222.1685222983116,1.3826522233347236,1.2067823286285306,0.9635750754513789,0.9867340347836885
2R3-2,2,3,2,6.391400098800659,6.535999849438667,7.108799368143082,142.51672080262134,151.7106282052765,1.112244462598585,1.0645110787764214,0.9652259171870681,0.9868438776581869
2R3-3,2,3,3,6.180799938738346,6.46630022674799,6.2265001237392426,124.21599682289576,124.422663427727,1.046191478585201,1.0016637680340472,0.9703005065184303,0.9816503570709958
2R3-4,2,3,4,5.9356000274419785,5.825500003993511,7.7765002846717834,128.81170741904657,130.2431309222757,1.3349069228977457,1.0111125264303225,0.9646401618287559,0.9883367828057152
2R3-5,2,3,5,6.024400144815445,5.514000169932842,6.786299496889114,114.69586825643408,107.63247122986722,1.2307398055397174,0.9384162905434859,0.9540370165025027,0.9752447288698638
2R3-6,2,3,6,5.686700157821178,5.751599930226803,6.227100640535355,111.85991277912588,107.36844870066926,1.0950288335443428,0.9598474201627059,0.976624092284531,0.987851164319357
2R3-7,2,3,7,6.706699915230274,6.289000064134598,7.7055007219314575,148.41387130143994,161.95105402463565,1.2252346387901936,1.0912123819996626,0.9681265939733363,0.9837659158062989
2R3-8,2,3,8,5.579699948430061,5.017599835991859,5.826999992132187,95.92598803269064,85.63806931316077,1.1613122175137205,0.8927514959134552,0.9794728940820244,0.9881040597187135
2R3-9,2,3,9,6.432899832725525,6.53929989784956,7.547300308942795,147.9771592616445,162.1087752513086,1.1732345451032953,1.0954986300600447,0.9716140547493114,0.9854228417589687
2R3-10,2,3,10,5.894800089299679,5.945399962365627,6.790400296449661,117.65098223895446,115.02720210135452,1.1519305478697552,0.9776986125600642,0.9721999728894964,0.985942069826841
3R1-1,3,1,1,5.8838000521063805,5.872699990868568,8.150800317525864,139.71085362971812,145.89922642998164,1.3879136223882544,1.0442941449392675,0.9593033721791735,0.9925592237423313
3R1-2,3,1,2,5.433600023388863,5.540400184690952,7.744299620389938,126.64416454822852,124.46694498584677,1.4252612608684294,0.9828083704436881,0.9519225782695678,0.9819662350776045
3R1-3,3,1,3,6.414799764752388,6.153100170195103,9.873899817466736,173.94399339865308,197.7950541936848,1.6047032462261466,1.1371191975590023,0.9438108669219427,0.9873482359287351
3R1-4,3,1,4,4.671099968254566,5.268999934196472,6.709100306034088,96.22185388684466,84.39036626922103,1.4362998761812102,0.8770394963337823,0.9669536392142621,0.9916216645005852
3R1-5,3,1,5,4.7970000654459,5.12470006942749,6.468299776315689,95.04427403830265,83.59907832542949,1.3484051882568475,0.8795803763174542,0.9728050720012271,0.9942949934728114
3R1-6,3,1,6,5.76310008764267,5.1566001027822495,7.843899726867676,120.28315556607436,116.32938948869533,1.5211378758332434,0.9671295115365748,0.9580884632296314,0.9935756303046082
