label,year,group_id,bucket_id,pin_id,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
4R8-6,2023,4,8,6,4.875200055539608,5.681999959051609,7.269400358200073,111.62696120877682,104.41651629370284,1.491097857602782,0.9354058836951744,0.9606410817507623,0.9876300668322896
4R8-7,2023,4,8,7,5.600600130856037,5.7455999776721,9.91319976747036,160.23466004355427,170.42084135334576,1.7700245573424205,1.0635703992321182,0.9277040756254418,0.9839501514802048
4R8-8,2023,4,8,8,6.256000138819218,6.920100003480911,10.34269966185093,185.72268961383628,216.00898722122471,1.6532447941733983,1.163072684712682,0.9374189038061156,0.9825266099462924
4R8-9,2023,4,8,9,6.62899985909462,7.051299884915352,8.931399509310722,180.848273453726,214.48255370002693,1.3473223260153395,1.1859806544125346,0.958144634896236,0.9907796337364696
4R8-10,2023,4,8,10,4.536500014364719,4.693199880421162,6.410500034689903,80.28305696375125,64.80574757792239,1.4130937979480231,0.8072157442532731,0.9718574618497609,0.9899768219929678
4R9-1,2023,4,9,1,7.357499748468399,6.263200007379055,9.394900873303412,187.0005025141945,225.2686888438407,1.50001610394602,1.2046421577222308,0.9574333956110264,0.9898090315218152
4R9-2,2023,4,9,2,5.822000093758106,5.801199935376644,8.228599280118942,144.1014684169389,152.99689787765445,1.4184305612257266,1.0617303179380364,0.9599990463910794,0.9896602162754924
4R9-3,2023,4,9,3,5.316100083291531,6.218400038778782,7.437599450349808,124.3375609050461,123.75984216476532,1.3990706220385385,0.9953536265624352,0.9659061813332288,0.986044081997673
4R9-4,2023,4,9,4,5.585899949073792,5.239999853074551,7.408700510859489,113.84197624544528,109.297113202848,1.413874182937708,0.9600774407429604,0.9710780981555984,0.99022873339834
4R9-5,2023,4,9,5,5.96769992262125,6.365500018000603,9.75940078496933,166.59432312961457,184.5085628339813,1.6353705634519595,1.1075321137469312,0.9408093182859476,0.9900554255224976
4R9-6,2023,4,9,6,5.319100059568882,5.963800102472305,7.820199802517891,127.21143313375003,124.11877635476512,1.4702110723504092,0.9756888457051396,0.9459096064654416,0.9774228987901272
4R9-7,2023,4,9,7,6.003699824213982,6.554199941456318,7.982199266552925,150.64789564720573,164.480215343688,1.329546696248754,1.091818870997544,0.963674052636894,0.9899948670608442
4R9-8,2023,4,9,8,6.500900164246559,7.234900072216988,9.751999750733376,197.6075335151205,238.797576948979,1.5000999099120318,1.208443689879398,0.9419631301841976,0.9849173716372748
4R9-9,2023,4,9,9,4.767899960279465,4.679400101304054,5.303899943828583,76.7382510083556,60.56498353718993,1.1334572443058444,0.7892411247500981,0.9718963776530432,0.9847492038132571
4R9-10,2023,4,9,10,5.496999993920326,5.42330015450716,6.515699625015259,108.9434596085832,101.81956062682436,1.2014270719647029,0.9346092091498296,0.967914748954718,0.9865256038167696
5R1-1,2023,5,1,1,5.252300016582012,4.7724999487400055,9.25689972937107,127.0165248242236,119.39153260593216,1.9396332799993008,0.939968502296504,0.9231513653573792,0.981766735247254
5R1-2,2023,5,1,2,5.186400003731251,5.228399951010943,9.08149965107441,121.90960548824329,106.23227719888489,1.7510218349029978,0.8714020258980307,0.8897824989349644,0.9674612350417902
5R1-3,2023,5,1,3,4.330500029027462,4.2848000302910805,6.778001040220261,80.07863366119555,61.8987172865834,1.5818710306907389,0.772974193696542,0.9449784463576888,0.990302786250334
5R1-4,2023,5,1,4,7.400799915194511,6.964399851858616,10.957900434732435,190.3292039035541,203.26541266893628,1.5734163270088608,1.0679675451799682,0.8783906091776182,0.896516231455243
5R1-5,2023,5,1,5,6.0635000467300415,6.694900058209896,13.901800662279127,237.7684181209141,279.92627005395127,2.2927023262374955,1.1773063566061928,0.8703469150168468,0.9669259788070504
5R1-6,2023,5,1,6,4.133200086653233,3.906400129199028,6.911099702119827,73.88220073735569,53.40318615091724,1.7691735289638355,0.7228153143510244,0.928230313043968,0.9864743485845004
5R1-7,2023,5,1,7,5.16550000756979,4.869200102984905,8.135200291872025,110.39091727028558,100.1079151051086,1.6707467591822738,0.9068492008269152,0.9444878892917457,0.9916876903983844
5R1-8,2023,5,1,8,5.516500025987625,5.207300186157227,9.14350003004074,139.7690910172866,140.89017533312466,1.7559003136303284,1.0080209745064408,0.9368285629344476,0.9860095874490352
5R1-9,2023,5,1,9,4.3461998924613,4.126999899744988,7.350900024175644,84.07222251437815,64.00890525991353,1.78117281384714,0.7613561690838687,0.9204323249189348,0.9642723845872108
5R1-10,2023,5,1,10,6.771799921989441,6.622900068759918,10.107800364494324,173.3076673003728,190.63322536604275,1.5261894728221264,1.0999699455630068,0.9242697617719866,0.982234386557568
5R2-1,2023,5,2,1,5.706800147891045,5.303099937736988,9.460100531578064,143.21460082090843,141.86312156328032,1.7838812473172077,0.9905632578669952,0.918494377668399,0.9753300543456191
5R2-2,2023,5,2,2,4.505799897015095,4.686800017952919,8.569100871682167,106.0552521760812,90.07621288093904,1.901793481188288,0.8493328810475834,0.916273984514126,0.9885898695023526
